WORKOUTID,TITLE,GENRES
772,Guilty Pleasures,Pop|Rock
773,Freedom Rock,Rock
774,Quick Hits,Rock
775,Quick Hits,Hip Hop
776,Quick Hits,Electronic
777,Super Monster,Pop
786,Molten Rock,Rock
787,Girl Power,R&B/Soul/Jazz
788,Super Monster,Electronic
789,Glutacious,Pop|Electronic
790,Game Time,Rock
791,Quick Hits,Electronic|Hip Hop
792,Quick Hits,Pop|Electronic
793,Quick Hits,Pop|Rock
794,Y2K Babyyy,Pop|Rock
801,Fresh Finds,R&B/Soul/Jazz
802,Just Dance,Electronic|Hip Hop
803,Mood Booster,Rock|R&B/Soul/Jazz
804,Power,Electronic|Hip Hop
806,Quick Hits,Pop
807,Quick Hits,R&B/Soul/Jazz
808,Pop Till You Drop,Pop
809,Freedom Rock,Rock
810,The Drop,Electronic|R&B/Soul/Jazz|Latin/Reggae/World
811,Monster,Pop
812,Strut,Rock
813,The Drop,Electronic
817,Flow,Pop|Electronic
818,Rap-ture,Pop|Hip Hop
819,Quick Hits,Rock
820,Quick Hits,Rock
821,Quick Hits,Electronic
822,Hip Hop You Don't Stop,Hip Hop
823,Superfreak,R&B/Soul/Jazz
824,Reggae Getaway,Latin/Reggae/World
825,"Pump, You Up 90s",Rock
826,Quick Hits,Rock
827,Quick Hits,Classical/Musical
831,Day 1,No Genre
839,Day 2,No Genre
842,Day 4,No Genre
843,Day 5,No Genre
844,Day 6,No Genre
847,Day 7,No Genre
849,Retrofit,Rock
850,Take The Stage,Rock
851,Pros Only,Electronic
852,Quick Hits,Hip Hop
853,Strut,Rock
854,Quick Hits,Pop|Rock
855,Quick Hits,Country
856,Quick Hits,Electronic|R&B/Soul/Jazz
857,Prom Night,R&B/Soul/Jazz
858,Rapattack,Hip Hop
869,Self Love,Pop|Rock
870,Hip Hop You Don't Stop,Hip Hop
871,Quick Hits,R&B/Soul/Jazz
873,The Drop,Electronic
874,Quick Hits,Pop|Electronic
875,Sweaty Flannel,Rock
876,Pros Only,Pop|Electronic
877,Quick Hits,Pop
878,Superfreak,Electronic|R&B/Soul/Jazz
879,Sweat Symphony,Classical/Musical
883,Break Stuff,Rock
884,Retrofit,Pop|Rock
886,Superfreak,R&B/Soul/Jazz
887,Just Dance,Electronic|R&B/Soul/Jazz
888,The Drop,Electronic
889,Quick Hits,R&B/Soul/Jazz
890,Power,Rock
891,Sea Shanties,Latin/Reggae/World
892,Quick Hits,Pop|Rock
893,Quick Hits,Rock
894,Monster,Rock
895,Skinny Jeans and Ripped Seams,Electronic
896,Mighty Musicals,Classical/Musical
897,Y2K Babyyy,Hip Hop|R&B/Soul/Jazz
898,Rock Hard,Rock
899,Fuego,Latin/Reggae/World
900,Guilty Pleasures,Pop|Rock
901,Y2K Babyyy,Rock
902,Smooth Sailing,Pop|Rock
904,Quick Hits,Rock
905,Quick Hits,Rock
906,Hoedown Throwdown,Country
907,Strut,Rock
915,Summer,Pop
916,Quick Hits,R&B/Soul/Jazz
917,Quick Hits,Pop|Electronic
918,Quick Hits,Pop|Hip Hop
921,Polka Till You Pop,Electronic|R&B/Soul/Jazz
922,Take The Stage,Rock
923,Just Dance,Pop|Latin/Reggae/World
924,Fresh Finds,Electronic|R&B/Soul/Jazz
925,"Break Up, Shape Up",Electronic
926,Broken Dreams Team,Rock
927,Quick Hits,Pop|Rock
928,Quick Hits,Rock
929,Quick Hits,Pop
936,Super Monster,Rock
937,Self Love,Pop|Electronic|Hip Hop
938,The Drop,Electronic|Latin/Reggae/World
939,Cover Lover,Electronic
940,Game Time,Hip Hop
941,Strut,Pop|Rock
942,Self Love,Rock
943,Quick Hits,Electronic|Latin/Reggae/World
945,Quick Hits,Latin/Reggae/World
958,Quick Hits,Pop
959,Quick Hits,Rock
960,Quick Hits,R&B/Soul/Jazz
961,Breakout Role,Rock|Classical/Musical
962,Punk You,Rock
963,Pop Till You Drop,Pop
964,Mood Booster,Rock
966,Power,Hip Hop
967,Jazz It Up,R&B/Soul/Jazz
975,Nouveau Disco,Electronic|R&B/Soul/Jazz
976,Pop Till You Punk,Rock
977,That Feeling,Pop|Rock
978,Monster,Rock
979,Quick Hits,Rock
980,Quick Hits,Pop
981,Quick Hits,Rock
983,Fitness Journey,Pop|Electronic
984,Nonstop K-Pop,Pop|Latin/Reggae/World
985,Fuego,Latin/Reggae/World
986,Hip Hop You Don't Stop,Hip Hop
987,Rock The Ages,Rock
988,Skinny Jeans and Ripped Seams,Rock
989,Quick Hits,Hip Hop
990,Quick Hits,Electronic
991,Quick Hits,Rock
993,The Drop,Electronic|Latin/Reggae/World
994,Guilty Pleasures,Pop|Rock
995,Fresh Finds,R&B/Soul/Jazz
996,Y2K Babyyy,Rock|Electronic
1007,Superfreak,R&B/Soul/Jazz
1008,Hair Brained,Rock
1009,Quick Hits,Hip Hop
1010,Quick Hits,Rock|R&B/Soul/Jazz
1011,Quick Hits,Pop|Electronic
1012,Self Love,R&B/Soul/Jazz
1013,Rapattack,Hip Hop|Latin/Reggae/World
1015,Bollywood Beats,Latin/Reggae/World
1016,Pros Only,Pop|Electronic
1017,Monster,Rock|R&B/Soul/Jazz
1019,Quick Hits,Rock
1020,Quick Hits,R&B/Soul/Jazz
1021,Quick Hits,R&B/Soul/Jazz
1035,Shower Songs,Pop
1036,Rock Hard,Rock
1037,Glutacious,Electronic
1038,Hoedown Throwdown,Country
1039,Pop Till You Drop,Pop
1040,Sweaty Flannel,Rock
1041,Quick Hits,Rock
1042,Quick Hits,Pop
1043,Quick Hits,Electronic|R&B/Soul/Jazz
1045,Girl Power,Electronic
1046,Rap-ture,Hip Hop
1047,Sweat Symphony,Classical/Musical
1048,Just Dance,Electronic|R&B/Soul/Jazz
1049,Rock Boom Baby,Rock|R&B/Soul/Jazz
1050,Super Duper Monster,Rock
1051,Quick Hits,Hip Hop|R&B/Soul/Jazz
1052,Quick Hits,Rock
1053,Quick Hits,Rock|Classical/Musical
1055,Girl Power,Pop
1063,Self Love,Pop|Hip Hop
1064,Fuego,Latin/Reggae/World
1065,Smooth Sailing,Pop|Rock
1066,Superfreak,R&B/Soul/Jazz
1067,Molten Rock,Rock
1068,Pool House,Pop|Rock|Electronic
1069,Quick Hits,Hip Hop
1071,Quick Hits,Rock
1072,Quick Hits,Pop|Rock
1073,Mighty Musicals,Classical/Musical
1074,Abs-o'licious,Electronic
1075,Retrofit,Pop|Electronic
1076,Pop Till You Drop,Pop
1083,Guilty Pleasures,Pop
1086,Broken Dreams Team,Rock
1090,Joy,Pop
1091,Just Dance,Pop|Hip Hop
